[2022-01-23 11:11:32,937] INFO :  * Detected change in 'W:\\purnendu\\other_works\\voice_record_speech_recognisation_flask\\app.py', reloading
2022-01-23 11:11:32,969 INFO :  * Restarting with stat
[2022-01-23 11:11:34,694] WARNING :  * Debugger is active!
[2022-01-23 11:11:34,694] INFO :  * Debugger PIN: 971-101-454
[2022-01-23 11:11:34,725] INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2022-01-23 11:18:13,299] INFO : 127.0.0.1 - - [23/Jan/2022 11:18:13] "GET / HTTP/1.1" 200 -
[2022-01-23 11:18:13,889] INFO : 127.0.0.1 - - [23/Jan/2022 11:18:13] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
[2022-01-23 11:18:13,889] INFO : 127.0.0.1 - - [23/Jan/2022 11:18:13] "[36mGET /static/styles/style.css HTTP/1.1[0m" 304 -
[2022-01-23 11:18:13,889] INFO : 127.0.0.1 - - [23/Jan/2022 11:18:13] "[36mGET /static/js/recorder.js HTTP/1.1[0m" 304 -
[2022-01-23 11:19:16,348] INFO : 127.0.0.1 - - [23/Jan/2022 11:19:16] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2022-01-23 11:19:31,909] INFO : 127.0.0.1 - - [23/Jan/2022 11:19:31] "GET / HTTP/1.1" 200 -
[2022-01-23 11:19:31,949] INFO : 127.0.0.1 - - [23/Jan/2022 11:19:31] "[36mGET /static/styles/style.css HTTP/1.1[0m" 304 -
[2022-01-23 11:19:31,969] INFO : 127.0.0.1 - - [23/Jan/2022 11:19:31] "[36mGET /static/js/recorder.js HTTP/1.1[0m" 304 -
[2022-01-23 11:19:31,969] INFO : 127.0.0.1 - - [23/Jan/2022 11:19:31] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
[2022-01-23 11:20:02,016] INFO : Bengali text: আমার নাম পূর্ণেন্দু ব্যানার্জি আমার বাড়ি বসিরহাট আমি একজন সফটওয়্যার ইঞ্জিনিয়ার আমার বয়স 27
[2022-01-23 11:20:03,606] INFO : English text: My name is Purnendu Banerjee My home is Basirhat I am a software engineer I am 27 years old
[2022-01-23 11:20:03,606] INFO : 127.0.0.1 - - [23/Jan/2022 11:20:03] "POST / HTTP/1.1" 200 -
[2022-01-23 11:21:45,166] INFO : Bengali text: আমার নাম পূর্ণেন্দু ব্যানার্জি আমার বাড়ি বসিরহাট আমি একজন সফটওয়্যার ইঞ্জিনিয়ার আমার বয়স 27. আমার একটা কম্পিউটার আছে।  কিন্তু সেটা খারাপ হয়ে গাছে। 
[2022-01-23 11:21:47,164] INFO : English text: My name is Purnendu Banerjee My home is Basirhat I am a software engineer I am 27. I have a computer. But it is getting worse.
[2022-01-23 11:21:47,164] INFO : 127.0.0.1 - - [23/Jan/2022 11:21:47] "POST /translate HTTP/1.1" 200 -
[2022-01-23 11:22:34,849] INFO : Bengali text: এখন শীতকাল কিন্তু খুব বৃষ্টি হচ্ছে ওয়েদার খুব খারাপ আশাকরি আগামী দিনে ওয়েদার ভালো হবে
[2022-01-23 11:22:36,406] INFO : English text: Now it is winter but it is raining. Weather is very bad. Hopefully the weather will be good in the coming days
[2022-01-23 11:22:36,406] INFO : 127.0.0.1 - - [23/Jan/2022 11:22:36] "POST / HTTP/1.1" 200 -
